Source,Manual Category,,
Popular Videos Tab,Non-News Related,,
Breakfast Club Radio,Non-News Related,,
Globe Eye News,News Creator,,
The Guardian,Print & Digital News Outlet,,
Sports Highlights,Non-News Related,,
Gutfeld!,Journalists & Hosts,,
Local Caribbean Community Paper,Local News,,
My Sa,Non-News Related,,
Weekly Skews,Radio and Podcasts,,
KARE 11,Local News,,
Random Accounts In Feed,Non-News Related,,
Random Other Stations,Non-News Related,,
PBD Podcast,Radio and Podcasts,,
Movies,Non-News Related,,
Blarg,Non-News Related,,
Environment,Non-News Related,,
Sunny Fm,Local News,,
Hyperallergic,Non-News Related,,
Fix News,National News Channel,,
Backed By Googling,Non-News Related,,
Commentary Channels In General About Pop Culture Phenomena,Non-News Related,,
Cons Of The Community,Non-News Related,,
WTOP,Local News,,
Some More News,Non-News Related,,
Nancy Grace,Non-News Related,,historically she is a news and political figure but currently she seems mostly active in a true crime program
Pcgamer,Non-News Related,,
Jerusalem Post,Print & Digital News Outlet,,
WTAE,Local News,,
Altcoin Daily,Non-News Related,,
Governor Desantis,News Creator,,political figure
Beau of the Fifth Column,News Creator,,
No Channel In Particular,Non-News Related,,
Medhi Hasan,News Creator,,
Main Feed,Non-News Related,,
WDRB,Local News,,
Donald Trump,News Creator,,political figure
The Athletic,Non-News Related,,
Russell Brand,News Creator,,
WMAR,Local News,,
Power93.5,Non-News Related,,
Startrek,Non-News Related,,
Community Impact,Local News,,
Local Tv News,Non-News Related,,
Kudlow,Journalists & Hosts,,
The Clarion Ledger,Local News,,
Monthly,Non-News Related,,
92.9 Peak Fm,Non-News Related,,
Aol News,Non-News Related,,
Vaush,News Creator,,
KNX 1070,Local News,,
