Source,Category
Popular Videos Tab,Non-News Related
Breakfast Club Radio,Radio and Podcasts
Globe Eye News,News Creator
The Guardian,Print & Digital News Outlet
Sports Highlights,Non-News Related
Gutfeld!,News + Entertainment
Local Caribbean Community Paper,Local News
My Sa,Local News
Weekly Skews,News Creator
KARE 11,Local News
Random Accounts In Feed,Non-News Related
Random Other Stations,Non-News Related
PBD Podcast,Radio and Podcasts
Movies,Non-News Related
Blarg,Non-News Related
Environment,Non-News Related
Sunny Fm,Radio and Podcasts
Hyperallergic,Print & Digital News Outlet
Fix News,National News Channel
Backed By Googling,Non-News Related
Commentary Channels In General About Pop Culture Phenomena,Non-News Related
Cons Of The Community,Non-News Related
WTOP,Local News
Some More News,News Creator
Nancy Grace,News Creator
Pcgamer,Non-News Related
Jerusalem Post,Print & Digital News Outlet
WTAE,Local News
Altcoin Daily,News Creator
Governor Desantis,Non-News Related
Beau of the Fifth Column,News Creator
No Channel In Particular,Non-News Related
Medhi Hasan,News Creator
Main Feed,Non-News Related
WDRB,Local News
Donald Trump,Non-News Related
The Athletic,Print & Digital News Outlet
Russell Brand,News Creator
WMAR,Local News
Power93.5,Radio and Podcasts
Startrek,Non-News Related
Community Impact,Local News
Local Tv News,Local News
Kudlow,Journalists & Hosts
The Clarion Ledger,Local News
Monthly,Non-News Related
92.9 Peak Fm,Radio and Podcasts
Aol News,Non-News Related
Vaush,News Creator
KNX 1070,Radio and Podcasts
